"al_albumid","al_albumname","al_artistid","al_releasedate"
2343,"albumName2343",1053,"2009-02-23"
2344,"albumName2344",2865,"1982-01-11"
2345,"albumName2345",714,"1997-01-09"
2346,"albumName2346",2288,"2057-04-15"
2347,"albumName2347",971,"2060-10-01"
2348,"albumName2348",780,"2051-01-26"
2349,"albumName2349",1591,"2020-03-13"
2350,"albumName2350",1625,"2022-08-25"
2351,"albumName2351",1746,"1995-08-20"
2352,"albumName2352",3596,"2054-04-06"
2353,"albumName2353",4816,"2018-03-24"
2354,"albumName2354",2318,"2059-10-17"
2355,"albumName2355",101,"1972-09-28"
2356,"albumName2356",200,"1989-03-15"
2357,"albumName2357",1140,"1985-10-04"
2358,"albumName2358",1619,"2006-08-02"
2359,"albumName2359",4901,"1986-09-03"
2360,"albumName2360",2717,"2013-10-07"
2361,"albumName2361",3732,"2000-08-27"
2362,"albumName2362",864,"1970-09-16"
2363,"albumName2363",3588,"2008-03-24"
2364,"albumName2364",1155,"1984-06-18"
2365,"albumName2365",3389,"2067-02-20"
2366,"albumName2366",1665,"1982-01-19"
2367,"albumName2367",796,"2007-02-23"
2368,"albumName2368",2678,"2025-04-20"
2369,"albumName2369",2380,"2064-03-20"
2370,"albumName2370",2797,"1981-03-22"
2371,"albumName2371",803,"2069-01-09"
2372,"albumName2372",2022,"2022-11-28"
2373,"albumName2373",1069,"2062-10-09"
2374,"albumName2374",2780,"2051-02-25"
2375,"albumName2375",2656,"2015-04-25"
2376,"albumName2376",3083,"2060-11-10"
2377,"albumName2377",3657,"1985-04-19"
2378,"albumName2378",2709,"2065-04-21"
2379,"albumName2379",3425,"1984-02-08"
2380,"albumName2380",3226,"2060-12-02"
2381,"albumName2381",3246,"1976-11-26"
2382,"albumName2382",3875,"1978-05-16"
2383,"albumName2383",3390,"2012-02-03"
2384,"albumName2384",211,"1999-11-03"
2385,"albumName2385",3987,"2024-11-07"
2386,"albumName2386",2147,"1991-05-25"
2387,"albumName2387",1310,"1970-12-19"
2388,"albumName2388",3359,"2054-05-23"
2389,"albumName2389",1760,"2053-10-22"
2390,"albumName2390",797,"2013-09-23"
2391,"albumName2391",1674,"2012-06-16"
2392,"albumName2392",3449,"2066-01-13"
2393,"albumName2393",4057,"2069-03-08"
2394,"albumName2394",1836,"1995-02-25"
2395,"albumName2395",612,"1982-09-23"
2396,"albumName2396",59,"2014-12-06"
2397,"albumName2397",1567,"1970-03-25"
2398,"albumName2398",3017,"1999-05-06"
2399,"albumName2399",4427,"2053-07-14"
2400,"albumName2400",2329,"1979-01-10"
2401,"albumName2401",3570,"2024-09-16"
2402,"albumName2402",4395,"1982-07-07"
2403,"albumName2403",4241,"2005-09-03"
2404,"albumName2404",4583,"2003-01-07"
2405,"albumName2405",3201,"2010-01-24"
2406,"albumName2406",795,"1988-04-09"
2407,"albumName2407",3843,"1993-12-20"
2408,"albumName2408",728,"2058-07-25"
2409,"albumName2409",3864,"2054-11-01"
2410,"albumName2410",896,"1973-12-15"
2411,"albumName2411",2665,"1988-07-06"
2412,"albumName2412",3435,"2015-04-16"
2413,"albumName2413",748,"2010-11-02"
2414,"albumName2414",3287,"2052-01-06"
2415,"albumName2415",4852,"1994-09-28"
2416,"albumName2416",2473,"2022-10-02"
2417,"albumName2417",3583,"1989-01-03"
2418,"albumName2418",2962,"1983-01-12"
2419,"albumName2419",3522,"2052-02-15"
2420,"albumName2420",748,"1972-11-26"
2421,"albumName2421",2344,"2003-01-06"
2422,"albumName2422",4007,"1974-01-06"
2423,"albumName2423",1798,"2020-07-19"
2424,"albumName2424",292,"1977-01-14"
2425,"albumName2425",2222,"2015-12-08"
2426,"albumName2426",3208,"1983-05-03"
2427,"albumName2427",3707,"1983-07-20"
2428,"albumName2428",2322,"2001-03-26"
2429,"albumName2429",3502,"2062-09-09"
2430,"albumName2430",1627,"2069-06-10"
2431,"albumName2431",1294,"2060-11-16"
2432,"albumName2432",4622,"2003-04-16"
2433,"albumName2433",471,"1987-08-24"
2434,"albumName2434",932,"1995-08-04"
2435,"albumName2435",1674,"2001-03-15"
2436,"albumName2436",867,"1992-07-23"
2437,"albumName2437",3965,"2025-11-03"
2438,"albumName2438",4108,"2023-07-15"
2439,"albumName2439",2294,"2061-11-08"
2440,"albumName2440",2132,"2013-02-28"
2441,"albumName2441",1726,"1972-02-12"
2442,"albumName2442",1948,"2052-09-21"
2443,"albumName2443",3604,"1976-11-28"
2444,"albumName2444",4616,"1978-07-26"
2445,"albumName2445",1370,"1997-03-09"
2446,"albumName2446",2997,"2057-12-19"
2447,"albumName2447",2716,"2062-05-08"
2448,"albumName2448",453,"1999-01-06"
2449,"albumName2449",258,"2068-02-05"
2450,"albumName2450",3832,"2019-08-24"
2451,"albumName2451",539,"2054-01-28"
2452,"albumName2452",3142,"1982-04-03"
2453,"albumName2453",2053,"1981-01-19"
2454,"albumName2454",4069,"2015-06-10"
2455,"albumName2455",3614,"1991-09-01"
2456,"albumName2456",2342,"2067-08-07"
2457,"albumName2457",3843,"2010-04-05"
2458,"albumName2458",533,"1974-11-08"
2459,"albumName2459",4255,"2003-06-03"
2460,"albumName2460",1700,"2056-02-10"
2461,"albumName2461",2797,"1980-02-02"
2462,"albumName2462",1888,"2059-04-25"
2463,"albumName2463",2053,"2055-03-13"
2464,"albumName2464",614,"2057-10-20"
2465,"albumName2465",2981,"2025-04-16"
2466,"albumName2466",1697,"1975-08-14"
2467,"albumName2467",949,"2054-09-12"
2468,"albumName2468",1509,"1971-11-02"
2469,"albumName2469",1791,"1985-05-10"
2470,"albumName2470",3903,"2022-07-10"
2471,"albumName2471",2692,"2025-07-13"
2472,"albumName2472",1768,"1999-03-27"
2473,"albumName2473",2516,"2009-10-13"
2474,"albumName2474",3448,"2006-05-07"
2475,"albumName2475",2061,"2069-07-04"
2476,"albumName2476",3437,"2017-07-08"
2477,"albumName2477",336,"1973-05-11"
2478,"albumName2478",2042,"2001-07-08"
2479,"albumName2479",1656,"1970-12-05"
2480,"albumName2480",2093,"1978-03-08"
2481,"albumName2481",1038,"2006-03-21"
2482,"albumName2482",1596,"2061-09-19"
2483,"albumName2483",4246,"1997-11-21"
2484,"albumName2484",3980,"1972-12-05"
2485,"albumName2485",1448,"2056-04-14"
2486,"albumName2486",1473,"1974-04-23"
2487,"albumName2487",3376,"1973-12-26"
2488,"albumName2488",3254,"2010-06-26"
2489,"albumName2489",811,"2023-05-19"
2490,"albumName2490",159,"1981-05-26"
2491,"albumName2491",4723,"1992-11-01"
2492,"albumName2492",1386,"1990-08-17"
2493,"albumName2493",3948,"1970-10-12"
2494,"albumName2494",3331,"1998-09-28"
2495,"albumName2495",4243,"2063-07-23"
2496,"albumName2496",2117,"1985-07-07"
2497,"albumName2497",2625,"1997-09-09"
2498,"albumName2498",786,"2011-08-11"
2499,"albumName2499",987,"1984-07-08"
2500,"albumName2500",895,"1971-07-28"
2501,"albumName2501",610,"1971-08-20"
2502,"albumName2502",2402,"2020-08-17"
2503,"albumName2503",1026,"2013-01-24"
2504,"albumName2504",2366,"2017-04-01"
2505,"albumName2505",3470,"2000-06-01"
2506,"albumName2506",422,"2011-11-23"
2507,"albumName2507",3477,"2063-01-24"
2508,"albumName2508",4187,"2002-05-13"
2509,"albumName2509",1566,"2053-07-22"
2510,"albumName2510",1858,"1995-05-06"
2511,"albumName2511",553,"2001-09-13"
2512,"albumName2512",3678,"1982-12-17"
2513,"albumName2513",1495,"1983-05-18"
2514,"albumName2514",2680,"1990-09-26"
2515,"albumName2515",2030,"2005-08-16"
2516,"albumName2516",885,"2062-10-15"
2517,"albumName2517",1494,"2065-05-01"
2518,"albumName2518",951,"1990-05-10"
2519,"albumName2519",699,"2057-11-27"
2520,"albumName2520",1313,"1981-06-13"
2521,"albumName2521",35,"2025-08-25"
2522,"albumName2522",3965,"1987-05-13"
2523,"albumName2523",2195,"1990-06-18"
2524,"albumName2524",1767,"1978-02-17"
2525,"albumName2525",3622,"2024-07-10"
2526,"albumName2526",850,"2069-05-24"
2527,"albumName2527",4291,"1976-09-26"
2528,"albumName2528",3081,"2015-05-02"
2529,"albumName2529",4067,"1977-02-11"
2530,"albumName2530",3113,"2021-01-22"
2531,"albumName2531",1825,"2051-06-14"
2532,"albumName2532",1163,"2063-08-03"
2533,"albumName2533",4634,"2069-01-26"
2534,"albumName2534",3516,"2065-06-10"
2535,"albumName2535",3304,"2056-11-13"
2536,"albumName2536",470,"2063-06-12"
2537,"albumName2537",3257,"2005-10-12"
2538,"albumName2538",4846,"1977-03-08"
2539,"albumName2539",1325,"2054-08-14"
2540,"albumName2540",3424,"2004-07-20"
2541,"albumName2541",486,"1992-11-06"
2542,"albumName2542",3099,"2012-07-20"
2543,"albumName2543",4739,"2069-05-27"
2544,"albumName2544",4191,"2025-07-07"
2545,"albumName2545",2042,"2025-05-13"
2546,"albumName2546",2624,"1999-01-25"
2547,"albumName2547",549,"1973-06-16"
2548,"albumName2548",3007,"2001-12-13"
2549,"albumName2549",4349,"1982-05-06"
2550,"albumName2550",3064,"2066-06-16"
2551,"albumName2551",4827,"1990-08-01"
2552,"albumName2552",4566,"2000-07-09"
2553,"albumName2553",3867,"1981-10-17"
2554,"albumName2554",4255,"2059-09-01"
2555,"albumName2555",3242,"2007-01-16"
2556,"albumName2556",1971,"2022-12-23"
2557,"albumName2557",2569,"1998-08-03"
2558,"albumName2558",1648,"1993-08-16"
2559,"albumName2559",1433,"2004-06-18"
2560,"albumName2560",3961,"2011-05-17"
2561,"albumName2561",3185,"1986-04-09"
2562,"albumName2562",2328,"1982-03-13"
2563,"albumName2563",3721,"2006-12-13"
2564,"albumName2564",2392,"1977-04-18"
2565,"albumName2565",3828,"2067-03-07"
2566,"albumName2566",3185,"2010-07-16"
2567,"albumName2567",757,"1996-08-17"
2568,"albumName2568",3672,"1974-07-16"
2569,"albumName2569",884,"2025-06-20"
2570,"albumName2570",2556,"2020-08-05"
2571,"albumName2571",4272,"2014-03-27"
2572,"albumName2572",830,"2056-03-10"
2573,"albumName2573",3843,"2069-12-06"
2574,"albumName2574",2552,"2059-02-25"
2575,"albumName2575",4512,"2001-07-21"
2576,"albumName2576",2514,"1989-12-10"
2577,"albumName2577",3279,"2064-01-10"
2578,"albumName2578",3835,"2004-12-17"
2579,"albumName2579",3593,"2008-05-18"
2580,"albumName2580",1995,"2013-04-11"
2581,"albumName2581",1745,"2009-11-01"
2582,"albumName2582",4141,"1998-10-02"
2583,"albumName2583",3377,"2015-11-10"
2584,"albumName2584",192,"2013-04-08"
2585,"albumName2585",542,"2006-02-25"
2586,"albumName2586",2115,"1987-03-24"
2587,"albumName2587",3878,"2065-10-23"
2588,"albumName2588",4325,"2051-09-12"
2589,"albumName2589",1367,"2011-10-25"
2590,"albumName2590",2782,"1978-11-24"
2591,"albumName2591",3536,"2014-01-07"
2592,"albumName2592",3491,"1988-04-09"
2593,"albumName2593",2619,"2062-05-01"
2594,"albumName2594",2431,"2006-12-15"
2595,"albumName2595",887,"2023-06-03"
2596,"albumName2596",1917,"1997-11-16"
2597,"albumName2597",4012,"2060-12-10"
2598,"albumName2598",1091,"1994-10-05"
2599,"albumName2599",463,"1977-02-09"
2600,"albumName2600",4689,"2014-11-04"
2601,"albumName2601",4372,"1986-01-22"
2602,"albumName2602",199,"2020-02-13"
2603,"albumName2603",2459,"2000-07-02"
2604,"albumName2604",2948,"1998-02-07"
2605,"albumName2605",4859,"2051-07-24"
2606,"albumName2606",2886,"2052-02-03"
2607,"albumName2607",1442,"1978-09-04"
2608,"albumName2608",1613,"2058-07-19"
2609,"albumName2609",1931,"2059-01-14"
2610,"albumName2610",3169,"1997-06-07"
2611,"albumName2611",320,"2019-11-09"
2612,"albumName2612",3795,"1976-05-02"
2613,"albumName2613",4165,"1979-09-05"
2614,"albumName2614",2480,"2007-11-17"
2615,"albumName2615",813,"2053-04-19"
2616,"albumName2616",3120,"1992-10-07"
2617,"albumName2617",4460,"1994-04-04"
2618,"albumName2618",3402,"2022-11-09"
2619,"albumName2619",4514,"2001-03-26"
2620,"albumName2620",1546,"2011-09-15"
2621,"albumName2621",4634,"2061-03-14"
2622,"albumName2622",1625,"2016-09-10"
2623,"albumName2623",930,"2001-08-01"
2624,"albumName2624",977,"2062-05-23"
2625,"albumName2625",1764,"1984-05-10"
2626,"albumName2626",161,"1972-07-19"
2627,"albumName2627",893,"1998-08-01"
2628,"albumName2628",1422,"2053-09-12"
2629,"albumName2629",2667,"2018-08-24"
2630,"albumName2630",4659,"2056-03-17"
2631,"albumName2631",4369,"2016-05-01"
2632,"albumName2632",2283,"1982-09-15"
2633,"albumName2633",279,"2008-04-05"
2634,"albumName2634",4218,"1995-12-16"
2635,"albumName2635",194,"2004-09-24"
2636,"albumName2636",3843,"2015-06-12"
2637,"albumName2637",4206,"1998-03-27"
2638,"albumName2638",4114,"2005-08-27"
2639,"albumName2639",1140,"2002-01-18"
2640,"albumName2640",3618,"1978-05-11"
2641,"albumName2641",3710,"2054-12-25"
2642,"albumName2642",2729,"2010-07-01"
2643,"albumName2643",3301,"2022-04-11"
2644,"albumName2644",612,"1997-09-03"
2645,"albumName2645",4253,"2064-12-19"
2646,"albumName2646",1108,"1990-12-19"
2647,"albumName2647",4364,"2052-02-25"
2648,"albumName2648",2236,"1982-03-17"
2649,"albumName2649",4165,"1981-04-15"
2650,"albumName2650",677,"1977-05-11"
2651,"albumName2651",3561,"1993-01-03"
2652,"albumName2652",1344,"2052-04-28"
2653,"albumName2653",4246,"2051-09-05"
2654,"albumName2654",3164,"2012-07-05"
2655,"albumName2655",3522,"2062-10-01"
2656,"albumName2656",712,"1995-07-02"
2657,"albumName2657",352,"2060-06-15"
2658,"albumName2658",2992,"2058-07-26"
2659,"albumName2659",1046,"2062-10-28"
2660,"albumName2660",4171,"1999-05-16"
2661,"albumName2661",177,"2007-07-08"
2662,"albumName2662",3118,"1970-02-13"
2663,"albumName2663",3388,"2063-11-02"
2664,"albumName2664",2492,"2063-02-13"
2665,"albumName2665",66,"1972-01-25"
2666,"albumName2666",4429,"2025-07-13"
2667,"albumName2667",2595,"2013-11-19"
2668,"albumName2668",4233,"1985-01-11"
2669,"albumName2669",1678,"2003-09-12"
2670,"albumName2670",1207,"2000-01-09"
2671,"albumName2671",1665,"2054-11-13"
2672,"albumName2672",1618,"2013-12-14"
2673,"albumName2673",4827,"2021-07-06"
2674,"albumName2674",3194,"1989-04-01"
2675,"albumName2675",267,"1989-08-12"
2676,"albumName2676",859,"2012-05-01"
2677,"albumName2677",4652,"2007-05-15"
2678,"albumName2678",1948,"2023-11-26"
2679,"albumName2679",417,"1974-11-12"
2680,"albumName2680",4637,"1992-03-17"
2681,"albumName2681",2189,"1972-03-27"
2682,"albumName2682",841,"1982-09-27"
2683,"albumName2683",2741,"1978-09-28"
2684,"albumName2684",2854,"2015-03-14"
2685,"albumName2685",3617,"2055-11-20"
2686,"albumName2686",1551,"2008-04-04"
2687,"albumName2687",3277,"1980-06-11"
2688,"albumName2688",89,"1994-12-04"
2689,"albumName2689",4892,"2063-05-05"
2690,"albumName2690",4599,"1993-11-12"
2691,"albumName2691",3739,"2004-04-23"
2692,"albumName2692",2227,"1993-09-25"
2693,"albumName2693",49,"2053-05-23"
2694,"albumName2694",1130,"1972-10-06"
2695,"albumName2695",2531,"2068-09-15"
2696,"albumName2696",2728,"2002-08-19"
2697,"albumName2697",1787,"2018-08-25"
2698,"albumName2698",2179,"1974-10-09"
2699,"albumName2699",1909,"2055-05-17"
2700,"albumName2700",243,"2025-05-01"
2701,"albumName2701",2479,"2069-10-08"
2702,"albumName2702",4759,"2004-04-08"
2703,"albumName2703",1659,"2022-04-15"
2704,"albumName2704",2771,"2067-01-03"
2705,"albumName2705",927,"2054-06-03"
2706,"albumName2706",4074,"1995-06-10"
2707,"albumName2707",4399,"1993-10-02"
2708,"albumName2708",2329,"2019-03-22"
2709,"albumName2709",1798,"2061-05-01"
2710,"albumName2710",757,"1989-03-03"
2711,"albumName2711",3976,"2065-03-25"
2712,"albumName2712",2001,"1976-06-23"
2713,"albumName2713",1342,"2020-06-09"
2714,"albumName2714",2196,"2006-01-25"
2715,"albumName2715",3752,"1996-12-20"
2716,"albumName2716",4126,"2006-02-05"
2717,"albumName2717",2999,"2058-05-25"
2718,"albumName2718",155,"2009-05-22"
2719,"albumName2719",3243,"2068-03-22"
2720,"albumName2720",309,"2063-03-11"
2721,"albumName2721",2999,"1977-06-05"
2722,"albumName2722",787,"2006-04-16"
2723,"albumName2723",677,"1994-12-15"
2724,"albumName2724",2511,"1971-11-14"
2725,"albumName2725",1672,"1985-07-24"
2726,"albumName2726",1291,"2063-06-01"
2727,"albumName2727",2678,"1985-09-23"
2728,"albumName2728",394,"1977-06-08"
2729,"albumName2729",1373,"2060-08-23"
2730,"albumName2730",4684,"2003-12-24"
2731,"albumName2731",1223,"1975-12-12"
2732,"albumName2732",3854,"2024-02-20"
2733,"albumName2733",3688,"2017-11-21"
2734,"albumName2734",266,"1980-02-14"
2735,"albumName2735",2246,"2010-11-26"
2736,"albumName2736",703,"1983-03-13"
2737,"albumName2737",4089,"1972-10-05"
2738,"albumName2738",109,"2004-03-12"
2739,"albumName2739",2298,"2018-11-02"
2740,"albumName2740",441,"2022-10-25"
2741,"albumName2741",3461,"2057-05-14"
2742,"albumName2742",2934,"2051-08-28"
2743,"albumName2743",1769,"2022-08-12"
2744,"albumName2744",2163,"2018-02-08"
2745,"albumName2745",2562,"2009-01-15"
2746,"albumName2746",4016,"1983-09-11"
2747,"albumName2747",668,"2010-08-16"
2748,"albumName2748",3532,"2062-09-07"
2749,"albumName2749",1761,"2000-02-05"
2750,"albumName2750",119,"2055-08-03"
2751,"albumName2751",2874,"1992-10-12"
2752,"albumName2752",2934,"2013-05-10"
2753,"albumName2753",4525,"1973-09-12"
2754,"albumName2754",3526,"2063-03-17"
2755,"albumName2755",3661,"1985-02-17"
2756,"albumName2756",4776,"2068-02-05"
2757,"albumName2757",1985,"1985-08-10"
2758,"albumName2758",4032,"2015-01-14"
2759,"albumName2759",2043,"1976-04-16"
2760,"albumName2760",3120,"2013-03-02"
2761,"albumName2761",4312,"1970-03-03"
2762,"albumName2762",4070,"1997-08-25"
2763,"albumName2763",287,"1994-05-24"
2764,"albumName2764",4540,"1970-03-13"
2765,"albumName2765",3477,"1988-06-17"
2766,"albumName2766",2382,"2010-05-09"
2767,"albumName2767",1800,"2051-02-11"
2768,"albumName2768",3600,"2061-09-14"
2769,"albumName2769",4714,"2019-06-25"
2770,"albumName2770",2003,"1975-10-16"
2771,"albumName2771",4290,"2008-09-18"
2772,"albumName2772",4010,"1981-12-21"
2773,"albumName2773",1589,"2016-07-03"
2774,"albumName2774",3966,"2000-10-14"
2775,"albumName2775",4305,"2004-10-15"
2776,"albumName2776",2972,"2063-06-13"
2777,"albumName2777",4737,"1974-05-01"
2778,"albumName2778",2279,"1991-07-08"
2779,"albumName2779",1715,"1987-09-24"
2780,"albumName2780",4799,"1970-05-01"
2781,"albumName2781",32,"2013-07-20"
2782,"albumName2782",3862,"1986-10-10"
2783,"albumName2783",2734,"2015-08-25"
2784,"albumName2784",1818,"2055-03-01"
2785,"albumName2785",3798,"1973-07-28"
2786,"albumName2786",537,"2063-02-06"
2787,"albumName2787",604,"2018-01-04"
2788,"albumName2788",3488,"2052-08-09"
2789,"albumName2789",461,"1994-09-02"
2790,"albumName2790",3465,"1992-11-24"
2791,"albumName2791",1085,"2059-07-27"
2792,"albumName2792",1337,"1995-03-01"
2793,"albumName2793",4077,"1979-07-09"
2794,"albumName2794",1144,"1998-04-19"
2795,"albumName2795",3695,"2006-09-02"
2796,"albumName2796",628,"2067-09-27"
2797,"albumName2797",775,"2055-04-19"
2798,"albumName2798",481,"1997-08-02"
2799,"albumName2799",4129,"1973-12-18"
2800,"albumName2800",25,"2012-11-26"
2801,"albumName2801",800,"1984-02-21"
2802,"albumName2802",851,"1987-07-27"
2803,"albumName2803",2101,"1970-04-07"
2804,"albumName2804",2914,"2051-05-18"
2805,"albumName2805",4499,"2067-05-24"
2806,"albumName2806",2509,"1989-06-26"
2807,"albumName2807",2218,"2007-06-14"
2808,"albumName2808",2969,"2063-09-09"
2809,"albumName2809",1731,"2061-03-21"
2810,"albumName2810",488,"2018-09-03"
2811,"albumName2811",1963,"1983-12-14"
2812,"albumName2812",4321,"2052-08-16"
2813,"albumName2813",3911,"2015-03-20"
2814,"albumName2814",417,"2025-12-09"
2815,"albumName2815",2191,"2003-05-22"
2816,"albumName2816",3205,"2065-10-11"
2817,"albumName2817",669,"2023-01-09"
2818,"albumName2818",4110,"1987-03-27"
2819,"albumName2819",3852,"2022-10-26"
2820,"albumName2820",465,"2055-05-16"
2821,"albumName2821",1648,"2021-07-25"
2822,"albumName2822",907,"2001-07-13"
2823,"albumName2823",2568,"2005-05-21"
2824,"albumName2824",205,"2015-07-13"
2825,"albumName2825",3914,"2063-03-21"
2826,"albumName2826",1511,"1970-05-25"
2827,"albumName2827",4404,"1981-12-24"
2828,"albumName2828",1490,"2017-04-16"
2829,"albumName2829",3550,"2009-04-26"
2830,"albumName2830",2114,"1995-04-09"
2831,"albumName2831",4853,"1973-10-07"
2832,"albumName2832",2253,"1971-06-14"
2833,"albumName2833",3929,"2068-04-10"
2834,"albumName2834",4690,"2068-10-25"
2835,"albumName2835",1534,"2002-03-20"
2836,"albumName2836",2787,"1981-10-16"
2837,"albumName2837",664,"2002-07-17"
2838,"albumName2838",3828,"1988-08-22"
2839,"albumName2839",2141,"2067-10-28"
2840,"albumName2840",3335,"1984-03-09"
2841,"albumName2841",4782,"2054-09-03"
2842,"albumName2842",1048,"2018-02-20"
2843,"albumName2843",3915,"1990-05-19"
2844,"albumName2844",1707,"2007-01-14"
2845,"albumName2845",3069,"1980-01-24"
2846,"albumName2846",1577,"1989-05-16"
2847,"albumName2847",4511,"2003-12-21"
2848,"albumName2848",802,"2062-11-06"
2849,"albumName2849",2550,"2009-11-23"
2850,"albumName2850",3759,"2021-05-19"
2851,"albumName2851",1327,"1970-05-28"
2852,"albumName2852",4786,"2052-08-25"
2853,"albumName2853",3133,"1998-12-03"
2854,"albumName2854",1326,"1998-01-17"
2855,"albumName2855",3028,"2051-08-07"
2856,"albumName2856",759,"2012-02-20"
2857,"albumName2857",4603,"2013-10-12"
2858,"albumName2858",4639,"1995-07-05"
2859,"albumName2859",358,"1978-03-23"
2860,"albumName2860",2288,"1983-06-26"
2861,"albumName2861",4366,"2052-03-01"
2862,"albumName2862",312,"2021-11-22"
2863,"albumName2863",2588,"2022-04-21"
2864,"albumName2864",1934,"1998-08-15"
2865,"albumName2865",868,"1980-07-17"
2866,"albumName2866",4829,"2054-01-22"
2867,"albumName2867",522,"1977-04-02"
2868,"albumName2868",2031,"2063-10-26"
2869,"albumName2869",1999,"2007-02-06"
2870,"albumName2870",4663,"2023-08-25"
2871,"albumName2871",2716,"2010-11-03"
2872,"albumName2872",3188,"2051-07-28"
2873,"albumName2873",1272,"2006-04-11"
2874,"albumName2874",1137,"1980-06-13"
2875,"albumName2875",319,"2002-11-26"
2876,"albumName2876",527,"2063-04-28"
2877,"albumName2877",2069,"2025-01-03"
2878,"albumName2878",2905,"1972-11-26"
2879,"albumName2879",63,"2053-11-03"
2880,"albumName2880",326,"2000-07-17"
2881,"albumName2881",2657,"1979-06-02"
2882,"albumName2882",3816,"2007-12-24"
2883,"albumName2883",4276,"1994-07-14"
2884,"albumName2884",1011,"2024-08-03"
2885,"albumName2885",3873,"2067-10-06"
2886,"albumName2886",364,"2054-07-26"
2887,"albumName2887",4156,"2022-02-14"
2888,"albumName2888",2845,"1985-10-23"
2889,"albumName2889",2950,"1998-08-20"
2890,"albumName2890",1641,"2023-03-28"
2891,"albumName2891",705,"2001-12-25"
2892,"albumName2892",2965,"1986-04-02"
2893,"albumName2893",1537,"1976-11-06"
2894,"albumName2894",4609,"2062-07-03"
2895,"albumName2895",3429,"2052-02-12"
2896,"albumName2896",2165,"2010-04-07"
2897,"albumName2897",3236,"2061-01-01"
2898,"albumName2898",944,"1977-10-10"
2899,"albumName2899",172,"2014-06-08"
2900,"albumName2900",796,"1988-09-08"
2901,"albumName2901",249,"2004-06-15"
2902,"albumName2902",1163,"2004-12-25"
2903,"albumName2903",892,"2021-10-05"
2904,"albumName2904",1564,"1988-11-17"
2905,"albumName2905",3221,"1992-07-25"
2906,"albumName2906",1182,"2016-10-06"
2907,"albumName2907",1859,"2017-08-04"
2908,"albumName2908",1284,"2054-07-02"
2909,"albumName2909",911,"2058-09-25"
2910,"albumName2910",4363,"2068-07-26"
2911,"albumName2911",2161,"2008-01-03"
2912,"albumName2912",3080,"2004-05-12"
2913,"albumName2913",596,"2021-09-14"
2914,"albumName2914",148,"2019-05-18"
2915,"albumName2915",3130,"1982-11-11"
2916,"albumName2916",516,"2064-11-13"
2917,"albumName2917",1118,"1998-12-26"
2918,"albumName2918",2890,"2064-07-26"
2919,"albumName2919",3925,"2005-11-13"
2920,"albumName2920",559,"1992-04-07"
2921,"albumName2921",1775,"1973-09-20"
2922,"albumName2922",1934,"1979-02-15"
2923,"albumName2923",3063,"1975-11-24"
2924,"albumName2924",4278,"1974-03-27"
2925,"albumName2925",2343,"1980-04-05"
2926,"albumName2926",773,"2061-06-13"
2927,"albumName2927",2419,"2022-10-18"
2928,"albumName2928",2955,"1997-10-16"
2929,"albumName2929",1571,"1993-06-09"
2930,"albumName2930",1076,"1984-12-21"
2931,"albumName2931",4080,"2000-02-01"
2932,"albumName2932",2342,"2053-04-17"
2933,"albumName2933",4043,"1975-08-06"
2934,"albumName2934",4838,"2057-10-03"
2935,"albumName2935",3030,"2011-04-26"
2936,"albumName2936",226,"2013-02-28"
2937,"albumName2937",2337,"2052-10-12"
2938,"albumName2938",136,"2001-11-12"
2939,"albumName2939",2986,"2066-02-24"
2940,"albumName2940",1750,"2060-12-26"
2941,"albumName2941",519,"2062-01-06"
2942,"albumName2942",3283,"1994-09-19"
2943,"albumName2943",4076,"2013-09-17"
2944,"albumName2944",4883,"1980-02-04"
2945,"albumName2945",3375,"1998-03-27"
2946,"albumName2946",4442,"1985-02-19"
2947,"albumName2947",1898,"1978-07-22"
2948,"albumName2948",4186,"2021-03-01"
2949,"albumName2949",4704,"1994-10-18"
2950,"albumName2950",1541,"2015-06-10"
2951,"albumName2951",2418,"2052-02-20"
2952,"albumName2952",2742,"1986-03-22"
2953,"albumName2953",76,"2069-01-25"
2954,"albumName2954",1576,"1991-07-22"
2955,"albumName2955",3501,"2009-10-07"
2956,"albumName2956",1307,"2014-10-22"
2957,"albumName2957",104,"1983-03-15"
2958,"albumName2958",349,"2000-11-19"
2959,"albumName2959",2329,"1975-01-22"
2960,"albumName2960",465,"1999-05-25"
2961,"albumName2961",1618,"2012-11-10"
2962,"albumName2962",1050,"1985-05-09"
2963,"albumName2963",4124,"2061-09-20"
2964,"albumName2964",2750,"2003-10-28"
2965,"albumName2965",1268,"1983-08-28"
2966,"albumName2966",1295,"2024-05-26"
2967,"albumName2967",4202,"1983-06-27"
2968,"albumName2968",864,"1981-05-10"
2969,"albumName2969",1540,"1984-08-22"
2970,"albumName2970",1003,"2061-08-03"
2971,"albumName2971",2243,"1995-07-16"
2972,"albumName2972",4404,"2014-09-26"
2973,"albumName2973",885,"1972-12-04"
2974,"albumName2974",2294,"1982-09-10"
2975,"albumName2975",2206,"2014-08-13"
2976,"albumName2976",1220,"2059-07-16"
2977,"albumName2977",2882,"2006-03-25"
2978,"albumName2978",1592,"2069-09-18"
2979,"albumName2979",2067,"1990-01-07"
2980,"albumName2980",2784,"2056-03-06"
2981,"albumName2981",3605,"2052-01-24"
2982,"albumName2982",4361,"1999-04-12"
2983,"albumName2983",2422,"1977-07-06"
