"a_artistid","a_artistname","a_country","a_genre","a_userid"
1197,"artistName1197","CHINA","Electronic",2424
1198,"artistName1198","AUSTRALIA","Hip Hop",2425
1199,"artistName1199","CHINA","Metal",2426
1200,"artistName1200","CHINA","Country",2428
1201,"artistName1201","MEXICO","Classical",2432
1202,"artistName1202","CANADA","Pop",2433
1203,"artistName1203","AUSTRALIA","Reggae",2435
1204,"artistName1204","MEXICO","Pop",2436
1205,"artistName1205","RUSSIA","Reggae",2441
1206,"artistName1206","AUSTRALIA","Classical",2442
1207,"artistName1207","CANADA","Rock",2443
1208,"artistName1208","RUSSIA","Hip Hop",2446
1209,"artistName1209","USA","Pop",2447
1210,"artistName1210","RUSSIA","Country",2448
1211,"artistName1211","CANADA","Rock",2451
1212,"artistName1212","AUSTRALIA","Country",2452
1213,"artistName1213","AUSTRALIA","Classical",2455
1214,"artistName1214","AUSTRALIA","Pop",2456
1215,"artistName1215","CANADA","Pop",2457
1216,"artistName1216","USA","Rock",2458
1217,"artistName1217","RUSSIA","Blues",2463
1218,"artistName1218","MEXICO","Country",2467
1219,"artistName1219","RUSSIA","Country",2469
1220,"artistName1220","CHINA","Electronic",2471
1221,"artistName1221","CANADA","Metal",2474
1222,"artistName1222","USA","Country",2475
1223,"artistName1223","RUSSIA","Blues",2477
1224,"artistName1224","CANADA","Classical",2478
1225,"artistName1225","CHINA","Classical",2480
1226,"artistName1226","CHINA","Reggae",2481
1227,"artistName1227","RUSSIA","Metal",2482
1228,"artistName1228","USA","Country",2485
1229,"artistName1229","MEXICO","Reggae",2486
1230,"artistName1230","MEXICO","Classical",2487
1231,"artistName1231","GERMANY","Hip Hop",2491
1232,"artistName1232","CHINA","Metal",2492
1233,"artistName1233","CANADA","Classical",2493
1234,"artistName1234","USA","Pop",2495
1235,"artistName1235","GERMANY","Jazz",2497
1236,"artistName1236","GERMANY","Rock",2500
1237,"artistName1237","USA","Blues",2501
1238,"artistName1238","USA","Hip Hop",2502
1239,"artistName1239","MEXICO","Metal",2503
1240,"artistName1240","RUSSIA","Jazz",2504
1241,"artistName1241","GERMANY","Classical",2508
1242,"artistName1242","MEXICO","Reggae",2512
1243,"artistName1243","GERMANY","Country",2515
1244,"artistName1244","MEXICO","Reggae",2516
1245,"artistName1245","USA","Country",2521
1246,"artistName1246","CHINA","Metal",2524
1247,"artistName1247","RUSSIA","Rock",2526
1248,"artistName1248","MEXICO","Country",2527
1249,"artistName1249","MEXICO","Hip Hop",2528
1250,"artistName1250","MEXICO","Jazz",2529
1251,"artistName1251","CHINA","Classical",2533
1252,"artistName1252","CANADA","Reggae",2535
1253,"artistName1253","MEXICO","Hip Hop",2541
1254,"artistName1254","USA","Hip Hop",2542
1255,"artistName1255","CANADA","Hip Hop",2543
1256,"artistName1256","CHINA","Jazz",2544
1257,"artistName1257","RUSSIA","Pop",2545
1258,"artistName1258","RUSSIA","Rock",2547
1259,"artistName1259","AUSTRALIA","Pop",2548
1260,"artistName1260","RUSSIA","Hip Hop",2551
1261,"artistName1261","GERMANY","Reggae",2552
1262,"artistName1262","USA","Pop",2554
1263,"artistName1263","AUSTRALIA","Reggae",2555
1264,"artistName1264","CHINA","Classical",2556
1265,"artistName1265","CANADA","Pop",2557
1266,"artistName1266","CHINA","Jazz",2558
1267,"artistName1267","USA","Country",2561
1268,"artistName1268","AUSTRALIA","Pop",2563
1269,"artistName1269","AUSTRALIA","Electronic",2564
1270,"artistName1270","MEXICO","Electronic",2567
1271,"artistName1271","GERMANY","Electronic",2570
1272,"artistName1272","GERMANY","Reggae",2573
1273,"artistName1273","AUSTRALIA","Rock",2575
1274,"artistName1274","CANADA","Electronic",2577
1275,"artistName1275","AUSTRALIA","Pop",2578
1276,"artistName1276","CANADA","Electronic",2582
1277,"artistName1277","GERMANY","Country",2583
1278,"artistName1278","AUSTRALIA","Pop",2584
1279,"artistName1279","USA","Metal",2589
1280,"artistName1280","CANADA","Hip Hop",2590
1281,"artistName1281","CHINA","Blues",2591
1282,"artistName1282","GERMANY","Metal",2597
1283,"artistName1283","USA","Pop",2598
1284,"artistName1284","RUSSIA","Metal",2601
1285,"artistName1285","USA","Hip Hop",2603
1286,"artistName1286","RUSSIA","Electronic",2605
1287,"artistName1287","USA","Electronic",2606
1288,"artistName1288","CHINA","Rock",2607
1289,"artistName1289","AUSTRALIA","Metal",2608
1290,"artistName1290","USA","Country",2611
1291,"artistName1291","GERMANY","Hip Hop",2612
1292,"artistName1292","RUSSIA","Blues",2613
1293,"artistName1293","USA","Classical",2619
1294,"artistName1294","CANADA","Rock",2620
1295,"artistName1295","CANADA","Metal",2621
1296,"artistName1296","MEXICO","Rock",2622
1297,"artistName1297","GERMANY","Jazz",2629
1298,"artistName1298","CANADA","Electronic",2631
1299,"artistName1299","MEXICO","Classical",2633
1300,"artistName1300","CANADA","Blues",2634
1301,"artistName1301","USA","Hip Hop",2635
1302,"artistName1302","USA","Metal",2636
1303,"artistName1303","CHINA","Hip Hop",2637
1304,"artistName1304","AUSTRALIA","Rock",2638
1305,"artistName1305","AUSTRALIA","Reggae",2639
1306,"artistName1306","AUSTRALIA","Metal",2640
1307,"artistName1307","AUSTRALIA","Electronic",2641
1308,"artistName1308","MEXICO","Jazz",2642
1309,"artistName1309","MEXICO","Pop",2643
1310,"artistName1310","RUSSIA","Metal",2646
1311,"artistName1311","MEXICO","Reggae",2651
1312,"artistName1312","CANADA","Reggae",2653
1313,"artistName1313","USA","Jazz",2655
1314,"artistName1314","USA","Country",2658
1315,"artistName1315","AUSTRALIA","Country",2662
1316,"artistName1316","CHINA","Reggae",2663
1317,"artistName1317","CANADA","Hip Hop",2669
1318,"artistName1318","GERMANY","Jazz",2671
1319,"artistName1319","CHINA","Electronic",2672
1320,"artistName1320","CANADA","Pop",2673
1321,"artistName1321","GERMANY","Electronic",2674
1322,"artistName1322","CANADA","Electronic",2675
1323,"artistName1323","CHINA","Jazz",2677
1324,"artistName1324","MEXICO","Metal",2679
1325,"artistName1325","AUSTRALIA","Hip Hop",2683
1326,"artistName1326","CHINA","Country",2684
1327,"artistName1327","CANADA","Rock",2685
1328,"artistName1328","RUSSIA","Hip Hop",2687
1329,"artistName1329","AUSTRALIA","Hip Hop",2688
1330,"artistName1330","RUSSIA","Electronic",2690
1331,"artistName1331","MEXICO","Reggae",2696
1332,"artistName1332","MEXICO","Electronic",2703
1333,"artistName1333","CHINA","Electronic",2704
1334,"artistName1334","USA","Metal",2705
1335,"artistName1335","GERMANY","Hip Hop",2706
1336,"artistName1336","CANADA","Country",2708
1337,"artistName1337","MEXICO","Classical",2709
1338,"artistName1338","AUSTRALIA","Blues",2712
1339,"artistName1339","GERMANY","Hip Hop",2714
1340,"artistName1340","MEXICO","Reggae",2716
1341,"artistName1341","AUSTRALIA","Jazz",2717
1342,"artistName1342","RUSSIA","Rock",2721
1343,"artistName1343","MEXICO","Rock",2722
1344,"artistName1344","RUSSIA","Jazz",2723
1345,"artistName1345","AUSTRALIA","Pop",2726
1346,"artistName1346","CANADA","Pop",2727
1347,"artistName1347","MEXICO","Jazz",2730
1348,"artistName1348","CHINA","Metal",2731
1349,"artistName1349","RUSSIA","Metal",2732
1350,"artistName1350","USA","Country",2733
1351,"artistName1351","AUSTRALIA","Blues",2735
1352,"artistName1352","CANADA","Jazz",2741
1353,"artistName1353","CANADA","Metal",2744
1354,"artistName1354","CANADA","Pop",2746
1355,"artistName1355","CANADA","Metal",2747
1356,"artistName1356","CHINA","Jazz",2749
1357,"artistName1357","CHINA","Country",2750
1358,"artistName1358","USA","Electronic",2751
1359,"artistName1359","GERMANY","Hip Hop",2753
1360,"artistName1360","GERMANY","Blues",2754
1361,"artistName1361","CHINA","Classical",2762
1362,"artistName1362","CHINA","Reggae",2763
1363,"artistName1363","CANADA","Blues",2764
1364,"artistName1364","MEXICO","Blues",2766
1365,"artistName1365","GERMANY","Hip Hop",2768
1366,"artistName1366","MEXICO","Blues",2770
1367,"artistName1367","AUSTRALIA","Metal",2772
1368,"artistName1368","GERMANY","Country",2773
1369,"artistName1369","USA","Jazz",2774
1370,"artistName1370","RUSSIA","Pop",2775
1371,"artistName1371","CHINA","Metal",2776
1372,"artistName1372","RUSSIA","Blues",2777
1373,"artistName1373","RUSSIA","Classical",2781
1374,"artistName1374","RUSSIA","Rock",2783
1375,"artistName1375","MEXICO","Hip Hop",2784
1376,"artistName1376","MEXICO","Jazz",2785
1377,"artistName1377","RUSSIA","Electronic",2786
1378,"artistName1378","GERMANY","Electronic",2787
1379,"artistName1379","AUSTRALIA","Hip Hop",2789
1380,"artistName1380","RUSSIA","Hip Hop",2790
1381,"artistName1381","RUSSIA","Jazz",2793
1382,"artistName1382","MEXICO","Classical",2794
1383,"artistName1383","MEXICO","Blues",2795
1384,"artistName1384","AUSTRALIA","Electronic",2797
1385,"artistName1385","MEXICO","Classical",2798
1386,"artistName1386","MEXICO","Classical",2800
1387,"artistName1387","USA","Blues",2801
1388,"artistName1388","USA","Electronic",2802
1389,"artistName1389","MEXICO","Electronic",2803
1390,"artistName1390","GERMANY","Classical",2804
1391,"artistName1391","RUSSIA","Pop",2805
1392,"artistName1392","GERMANY","Classical",2806
1393,"artistName1393","USA","Classical",2807
1394,"artistName1394","AUSTRALIA","Jazz",2810
1395,"artistName1395","USA","Electronic",2811
1396,"artistName1396","GERMANY","Classical",2813
1397,"artistName1397","CHINA","Reggae",2816
1398,"artistName1398","CHINA","Jazz",2818
1399,"artistName1399","USA","Metal",2821
1400,"artistName1400","AUSTRALIA","Reggae",2824
1401,"artistName1401","RUSSIA","Blues",2825
1402,"artistName1402","GERMANY","Pop",2827
1403,"artistName1403","MEXICO","Jazz",2832
1404,"artistName1404","GERMANY","Rock",2833
1405,"artistName1405","CHINA","Hip Hop",2836
1406,"artistName1406","AUSTRALIA","Rock",2842
1407,"artistName1407","GERMANY","Metal",2843
1408,"artistName1408","MEXICO","Metal",2844
1409,"artistName1409","AUSTRALIA","Country",2846
1410,"artistName1410","AUSTRALIA","Reggae",2848
1411,"artistName1411","MEXICO","Classical",2849
1412,"artistName1412","USA","Hip Hop",2850
1413,"artistName1413","GERMANY","Hip Hop",2854
1414,"artistName1414","AUSTRALIA","Hip Hop",2857
1415,"artistName1415","MEXICO","Hip Hop",2861
1416,"artistName1416","MEXICO","Blues",2862
1417,"artistName1417","USA","Classical",2865
1418,"artistName1418","GERMANY","Country",2866
1419,"artistName1419","USA","Electronic",2869
1420,"artistName1420","CANADA","Metal",2870
1421,"artistName1421","CANADA","Jazz",2875
1422,"artistName1422","CHINA","Jazz",2878
1423,"artistName1423","USA","Metal",2879
1424,"artistName1424","CHINA","Pop",2882
1425,"artistName1425","CANADA","Jazz",2884
1426,"artistName1426","CANADA","Classical",2886
1427,"artistName1427","GERMANY","Rock",2889
1428,"artistName1428","CANADA","Hip Hop",2890
1429,"artistName1429","AUSTRALIA","Metal",2893
1430,"artistName1430","AUSTRALIA","Electronic",2894
1431,"artistName1431","RUSSIA","Rock",2895
1432,"artistName1432","CANADA","Hip Hop",2896
1433,"artistName1433","RUSSIA","Hip Hop",2898
1434,"artistName1434","USA","Pop",2900
1435,"artistName1435","MEXICO","Classical",2901
1436,"artistName1436","GERMANY","Electronic",2902
1437,"artistName1437","USA","Classical",2903
1438,"artistName1438","GERMANY","Country",2904
1439,"artistName1439","CHINA","Electronic",2906
1440,"artistName1440","AUSTRALIA","Blues",2911
1441,"artistName1441","CANADA","Reggae",2914
1442,"artistName1442","USA","Hip Hop",2916
1443,"artistName1443","USA","Electronic",2917
1444,"artistName1444","CHINA","Jazz",2921
1445,"artistName1445","RUSSIA","Rock",2923
1446,"artistName1446","CANADA","Metal",2925
1447,"artistName1447","AUSTRALIA","Electronic",2926
1448,"artistName1448","MEXICO","Rock",2927
1449,"artistName1449","CHINA","Reggae",2928
1450,"artistName1450","USA","Hip Hop",2929
1451,"artistName1451","USA","Metal",2933
1452,"artistName1452","CHINA","Rock",2935
1453,"artistName1453","GERMANY","Rock",2941
1454,"artistName1454","CHINA","Pop",2942
1455,"artistName1455","USA","Classical",2944
1456,"artistName1456","RUSSIA","Pop",2945
1457,"artistName1457","CHINA","Blues",2946
1458,"artistName1458","RUSSIA","Classical",2950
1459,"artistName1459","MEXICO","Metal",2952
1460,"artistName1460","GERMANY","Classical",2953
1461,"artistName1461","GERMANY","Country",2955
1462,"artistName1462","AUSTRALIA","Pop",2958
1463,"artistName1463","CANADA","Blues",2961
1464,"artistName1464","CHINA","Blues",2962
1465,"artistName1465","USA","Pop",2964
1466,"artistName1466","AUSTRALIA","Reggae",2967
1467,"artistName1467","CANADA","Blues",2968
1468,"artistName1468","AUSTRALIA","Reggae",2972
1469,"artistName1469","CANADA","Pop",2974
1470,"artistName1470","MEXICO","Rock",2975
1471,"artistName1471","AUSTRALIA","Rock",2976
1472,"artistName1472","USA","Rock",2978
1473,"artistName1473","CANADA","Reggae",2979
1474,"artistName1474","GERMANY","Country",2981
1475,"artistName1475","USA","Hip Hop",2982
1476,"artistName1476","USA","Country",2983
1477,"artistName1477","RUSSIA","Classical",2986
1478,"artistName1478","USA","Hip Hop",2988
1479,"artistName1479","USA","Blues",2992
1480,"artistName1480","USA","Classical",2995
1481,"artistName1481","GERMANY","Country",3001
1482,"artistName1482","MEXICO","Metal",3002
1483,"artistName1483","CHINA","Blues",3006
1484,"artistName1484","AUSTRALIA","Rock",3008
1485,"artistName1485","CANADA","Blues",3012
1486,"artistName1486","CHINA","Reggae",3017
1487,"artistName1487","RUSSIA","Rock",3018
1488,"artistName1488","USA","Jazz",3019
1489,"artistName1489","USA","Pop",3021
1490,"artistName1490","CHINA","Metal",3022
1491,"artistName1491","RUSSIA","Hip Hop",3023
1492,"artistName1492","MEXICO","Pop",3024
1493,"artistName1493","AUSTRALIA","Pop",3025
1494,"artistName1494","CANADA","Hip Hop",3027
1495,"artistName1495","GERMANY","Jazz",3029
1496,"artistName1496","GERMANY","Classical",3035
1497,"artistName1497","USA","Jazz",3036
1498,"artistName1498","RUSSIA","Metal",3038
1499,"artistName1499","AUSTRALIA","Country",3040
1500,"artistName1500","GERMANY","Country",3041
1501,"artistName1501","AUSTRALIA","Electronic",3042
1502,"artistName1502","AUSTRALIA","Blues",3045
1503,"artistName1503","CANADA","Classical",3048
1504,"artistName1504","GERMANY","Pop",3051
1505,"artistName1505","USA","Rock",3053
1506,"artistName1506","MEXICO","Electronic",3054
1507,"artistName1507","AUSTRALIA","Country",3055
1508,"artistName1508","MEXICO","Classical",3057
1509,"artistName1509","AUSTRALIA","Reggae",3060
1510,"artistName1510","CANADA","Rock",3061
1511,"artistName1511","AUSTRALIA","Jazz",3062
1512,"artistName1512","MEXICO","Classical",3066
1513,"artistName1513","GERMANY","Metal",3070
1514,"artistName1514","AUSTRALIA","Jazz",3071
1515,"artistName1515","CANADA","Blues",3072
1516,"artistName1516","MEXICO","Country",3076
1517,"artistName1517","RUSSIA","Rock",3082
1518,"artistName1518","CHINA","Rock",3084
1519,"artistName1519","GERMANY","Hip Hop",3085
1520,"artistName1520","GERMANY","Reggae",3086
1521,"artistName1521","AUSTRALIA","Hip Hop",3088
1522,"artistName1522","CANADA","Blues",3089
1523,"artistName1523","AUSTRALIA","Electronic",3090
1524,"artistName1524","USA","Classical",3094
1525,"artistName1525","CANADA","Metal",3095
1526,"artistName1526","CHINA","Country",3097
1527,"artistName1527","CANADA","Country",3098
1528,"artistName1528","AUSTRALIA","Country",3099
1529,"artistName1529","MEXICO","Country",3101
1530,"artistName1530","CHINA","Jazz",3102
1531,"artistName1531","CHINA","Classical",3103
1532,"artistName1532","CANADA","Pop",3105
1533,"artistName1533","AUSTRALIA","Blues",3108
1534,"artistName1534","GERMANY","Rock",3109
1535,"artistName1535","AUSTRALIA","Rock",3113
1536,"artistName1536","CANADA","Classical",3116
1537,"artistName1537","CANADA","Hip Hop",3119
1538,"artistName1538","MEXICO","Metal",3120
1539,"artistName1539","AUSTRALIA","Pop",3121
1540,"artistName1540","AUSTRALIA","Reggae",3122
1541,"artistName1541","RUSSIA","Electronic",3123
1542,"artistName1542","AUSTRALIA","Metal",3124
1543,"artistName1543","GERMANY","Rock",3125
1544,"artistName1544","USA","Reggae",3127
1545,"artistName1545","GERMANY","Country",3128
1546,"artistName1546","MEXICO","Pop",3130
1547,"artistName1547","MEXICO","Pop",3132
1548,"artistName1548","USA","Jazz",3136
1549,"artistName1549","USA","Jazz",3139
1550,"artistName1550","AUSTRALIA","Blues",3140
1551,"artistName1551","USA","Country",3146
1552,"artistName1552","RUSSIA","Metal",3148
1553,"artistName1553","AUSTRALIA","Electronic",3149
1554,"artistName1554","GERMANY","Blues",3150
1555,"artistName1555","CANADA","Reggae",3151
1556,"artistName1556","GERMANY","Jazz",3155
1557,"artistName1557","CANADA","Pop",3156
1558,"artistName1558","CHINA","Jazz",3158
1559,"artistName1559","CHINA","Classical",3162
1560,"artistName1560","CANADA","Pop",3163
1561,"artistName1561","GERMANY","Electronic",3167
1562,"artistName1562","RUSSIA","Electronic",3169
1563,"artistName1563","RUSSIA","Rock",3171
1564,"artistName1564","USA","Hip Hop",3177
1565,"artistName1565","AUSTRALIA","Metal",3181
1566,"artistName1566","MEXICO","Blues",3182
1567,"artistName1567","RUSSIA","Classical",3183
1568,"artistName1568","USA","Pop",3185
1569,"artistName1569","RUSSIA","Metal",3189
1570,"artistName1570","CHINA","Country",3190
1571,"artistName1571","RUSSIA","Metal",3191
1572,"artistName1572","RUSSIA","Blues",3193
1573,"artistName1573","RUSSIA","Reggae",3196
1574,"artistName1574","USA","Hip Hop",3199
1575,"artistName1575","MEXICO","Pop",3202
1576,"artistName1576","CHINA","Hip Hop",3204
1577,"artistName1577","GERMANY","Blues",3208
1578,"artistName1578","CANADA","Hip Hop",3212
1579,"artistName1579","USA","Reggae",3216
1580,"artistName1580","GERMANY","Electronic",3218
1581,"artistName1581","USA","Rock",3222
1582,"artistName1582","MEXICO","Classical",3223
1583,"artistName1583","MEXICO","Metal",3225
1584,"artistName1584","MEXICO","Electronic",3228
1585,"artistName1585","USA","Rock",3229
1586,"artistName1586","GERMANY","Rock",3234
1587,"artistName1587","RUSSIA","Country",3237
1588,"artistName1588","CANADA","Electronic",3238
1589,"artistName1589","CANADA","Pop",3239
1590,"artistName1590","AUSTRALIA","Metal",3245
1591,"artistName1591","RUSSIA","Reggae",3247
1592,"artistName1592","GERMANY","Pop",3251
1593,"artistName1593","MEXICO","Hip Hop",3253
1594,"artistName1594","AUSTRALIA","Blues",3256
1595,"artistName1595","CANADA","Blues",3258
1596,"artistName1596","CANADA","Reggae",3266
1597,"artistName1597","CANADA","Metal",3269
1598,"artistName1598","GERMANY","Blues",3270
1599,"artistName1599","GERMANY","Classical",3272
1600,"artistName1600","CHINA","Reggae",3273
1601,"artistName1601","CANADA","Jazz",3274
1602,"artistName1602","USA","Jazz",3275
1603,"artistName1603","AUSTRALIA","Reggae",3277
1604,"artistName1604","MEXICO","Jazz",3279
1605,"artistName1605","CHINA","Rock",3281
1606,"artistName1606","CHINA","Rock",3282
1607,"artistName1607","RUSSIA","Classical",3284
1608,"artistName1608","RUSSIA","Jazz",3286
1609,"artistName1609","CHINA","Pop",3287
1610,"artistName1610","CHINA","Reggae",3290
1611,"artistName1611","GERMANY","Reggae",3291
1612,"artistName1612","CANADA","Blues",3292
1613,"artistName1613","AUSTRALIA","Blues",3293
1614,"artistName1614","CANADA","Country",3295
1615,"artistName1615","RUSSIA","Rock",3299
1616,"artistName1616","USA","Pop",3301
1617,"artistName1617","USA","Country",3302
1618,"artistName1618","GERMANY","Hip Hop",3303
1619,"artistName1619","AUSTRALIA","Classical",3304
1620,"artistName1620","USA","Blues",3306
1621,"artistName1621","MEXICO","Jazz",3308
1622,"artistName1622","GERMANY","Jazz",3311
1623,"artistName1623","RUSSIA","Pop",3312
1624,"artistName1624","AUSTRALIA","Electronic",3313
1625,"artistName1625","GERMANY","Reggae",3315
1626,"artistName1626","GERMANY","Country",3318
1627,"artistName1627","CHINA","Hip Hop",3320
1628,"artistName1628","AUSTRALIA","Metal",3321
1629,"artistName1629","AUSTRALIA","Jazz",3325
1630,"artistName1630","CANADA","Jazz",3326
1631,"artistName1631","CHINA","Classical",3331
1632,"artistName1632","CHINA","Metal",3333
1633,"artistName1633","CHINA","Jazz",3334
1634,"artistName1634","RUSSIA","Pop",3335
1635,"artistName1635","CANADA","Jazz",3336
1636,"artistName1636","USA","Classical",3337
1637,"artistName1637","CANADA","Metal",3338
1638,"artistName1638","MEXICO","Jazz",3340
1639,"artistName1639","MEXICO","Reggae",3342
1640,"artistName1640","MEXICO","Metal",3343
1641,"artistName1641","CANADA","Hip Hop",3347
1642,"artistName1642","GERMANY","Hip Hop",3348
1643,"artistName1643","GERMANY","Country",3351
1644,"artistName1644","RUSSIA","Electronic",3352
1645,"artistName1645","CHINA","Metal",3353
1646,"artistName1646","USA","Jazz",3354
1647,"artistName1647","GERMANY","Blues",3355
1648,"artistName1648","GERMANY","Reggae",3356
1649,"artistName1649","GERMANY","Jazz",3358
1650,"artistName1650","GERMANY","Rock",3359
1651,"artistName1651","USA","Blues",3362
1652,"artistName1652","USA","Metal",3364
1653,"artistName1653","GERMANY","Pop",3366
1654,"artistName1654","CANADA","Electronic",3367
1655,"artistName1655","MEXICO","Electronic",3369
1656,"artistName1656","USA","Hip Hop",3370
1657,"artistName1657","GERMANY","Blues",3373
1658,"artistName1658","MEXICO","Rock",3375
1659,"artistName1659","USA","Jazz",3376
1660,"artistName1660","GERMANY","Blues",3378
1661,"artistName1661","MEXICO","Metal",3382
1662,"artistName1662","GERMANY","Hip Hop",3383
1663,"artistName1663","RUSSIA","Jazz",3385
1664,"artistName1664","CHINA","Electronic",3386
1665,"artistName1665","CANADA","Rock",3390
1666,"artistName1666","CANADA","Electronic",3391
1667,"artistName1667","AUSTRALIA","Metal",3394
1668,"artistName1668","CANADA","Hip Hop",3396
1669,"artistName1669","MEXICO","Country",3397
1670,"artistName1670","CANADA","Rock",3398
1671,"artistName1671","GERMANY","Rock",3399
1672,"artistName1672","MEXICO","Blues",3401
1673,"artistName1673","USA","Hip Hop",3403
1674,"artistName1674","CANADA","Rock",3404
1675,"artistName1675","USA","Classical",3406
1676,"artistName1676","CANADA","Hip Hop",3416
1677,"artistName1677","USA","Reggae",3417
1678,"artistName1678","CHINA","Blues",3418
1679,"artistName1679","USA","Reggae",3419
1680,"artistName1680","CANADA","Rock",3420
1681,"artistName1681","GERMANY","Electronic",3422
1682,"artistName1682","GERMANY","Electronic",3425
1683,"artistName1683","MEXICO","Reggae",3426
1684,"artistName1684","AUSTRALIA","Pop",3429
1685,"artistName1685","AUSTRALIA","Rock",3432
1686,"artistName1686","MEXICO","Metal",3433
1687,"artistName1687","MEXICO","Electronic",3434
1688,"artistName1688","CANADA","Electronic",3435
1689,"artistName1689","GERMANY","Metal",3436
1690,"artistName1690","USA","Country",3438
1691,"artistName1691","CANADA","Blues",3440
1692,"artistName1692","MEXICO","Reggae",3441
1693,"artistName1693","USA","Hip Hop",3442
1694,"artistName1694","USA","Classical",3447
1695,"artistName1695","CHINA","Pop",3449
1696,"artistName1696","CANADA","Classical",3450
1697,"artistName1697","RUSSIA","Electronic",3452
1698,"artistName1698","CANADA","Classical",3453
1699,"artistName1699","GERMANY","Classical",3456
1700,"artistName1700","RUSSIA","Electronic",3457
1701,"artistName1701","MEXICO","Classical",3459
1702,"artistName1702","RUSSIA","Blues",3460
1703,"artistName1703","AUSTRALIA","Reggae",3461
1704,"artistName1704","RUSSIA","Jazz",3462
1705,"artistName1705","USA","Electronic",3463
1706,"artistName1706","CANADA","Electronic",3465
1707,"artistName1707","RUSSIA","Pop",3466
1708,"artistName1708","CHINA","Rock",3469
1709,"artistName1709","MEXICO","Rock",3471
1710,"artistName1710","CHINA","Blues",3472
1711,"artistName1711","MEXICO","Rock",3474
1712,"artistName1712","CHINA","Electronic",3475
1713,"artistName1713","GERMANY","Reggae",3480
1714,"artistName1714","CANADA","Metal",3484
1715,"artistName1715","GERMANY","Pop",3487
1716,"artistName1716","CANADA","Electronic",3488
1717,"artistName1717","MEXICO","Electronic",3489
1718,"artistName1718","RUSSIA","Rock",3494
1719,"artistName1719","CHINA","Hip Hop",3497
1720,"artistName1720","CANADA","Pop",3500
1721,"artistName1721","GERMANY","Electronic",3501
1722,"artistName1722","CANADA","Rock",3502
1723,"artistName1723","MEXICO","Pop",3503
1724,"artistName1724","AUSTRALIA","Reggae",3506
1725,"artistName1725","CANADA","Country",3507
1726,"artistName1726","MEXICO","Reggae",3508
1727,"artistName1727","USA","Blues",3511
1728,"artistName1728","USA","Metal",3512
1729,"artistName1729","RUSSIA","Jazz",3513
1730,"artistName1730","AUSTRALIA","Electronic",3516
1731,"artistName1731","CANADA","Jazz",3517
1732,"artistName1732","USA","Pop",3519
1733,"artistName1733","AUSTRALIA","Blues",3522
1734,"artistName1734","MEXICO","Classical",3523
1735,"artistName1735","GERMANY","Jazz",3525
1736,"artistName1736","CHINA","Classical",3526
1737,"artistName1737","GERMANY","Country",3527
1738,"artistName1738","GERMANY","Rock",3528
1739,"artistName1739","CHINA","Pop",3532
1740,"artistName1740","USA","Pop",3533
1741,"artistName1741","CHINA","Pop",3537
1742,"artistName1742","AUSTRALIA","Pop",3538
1743,"artistName1743","MEXICO","Jazz",3543
1744,"artistName1744","AUSTRALIA","Metal",3544
1745,"artistName1745","CHINA","Reggae",3548
1746,"artistName1746","MEXICO","Pop",3549
1747,"artistName1747","AUSTRALIA","Pop",3550
1748,"artistName1748","GERMANY","Metal",3552
1749,"artistName1749","AUSTRALIA","Hip Hop",3553
1750,"artistName1750","CANADA","Reggae",3556
1751,"artistName1751","RUSSIA","Jazz",3557
1752,"artistName1752","RUSSIA","Country",3558
1753,"artistName1753","RUSSIA","Classical",3560
1754,"artistName1754","RUSSIA","Classical",3562
1755,"artistName1755","RUSSIA","Electronic",3563
1756,"artistName1756","GERMANY","Electronic",3566
1757,"artistName1757","CHINA","Blues",3569
1758,"artistName1758","CANADA","Hip Hop",3571
1759,"artistName1759","USA","Metal",3572
1760,"artistName1760","CHINA","Country",3575
1761,"artistName1761","CANADA","Metal",3577
1762,"artistName1762","CANADA","Classical",3578
1763,"artistName1763","CHINA","Reggae",3579
1764,"artistName1764","MEXICO","Blues",3581
1765,"artistName1765","CHINA","Blues",3582
1766,"artistName1766","AUSTRALIA","Rock",3583
1767,"artistName1767","RUSSIA","Pop",3584
1768,"artistName1768","MEXICO","Jazz",3588
1769,"artistName1769","GERMANY","Electronic",3589
1770,"artistName1770","RUSSIA","Classical",3593
1771,"artistName1771","RUSSIA","Rock",3596
1772,"artistName1772","AUSTRALIA","Jazz",3597
1773,"artistName1773","GERMANY","Hip Hop",3603
1774,"artistName1774","USA","Country",3605
1775,"artistName1775","GERMANY","Jazz",3608
1776,"artistName1776","RUSSIA","Reggae",3609
1777,"artistName1777","MEXICO","Blues",3612
1778,"artistName1778","RUSSIA","Jazz",3614
1779,"artistName1779","CANADA","Classical",3616
1780,"artistName1780","CHINA","Classical",3618
1781,"artistName1781","MEXICO","Metal",3621
1782,"artistName1782","CANADA","Hip Hop",3627
1783,"artistName1783","CHINA","Metal",3630
1784,"artistName1784","MEXICO","Pop",3631
1785,"artistName1785","CANADA","Electronic",3632
1786,"artistName1786","AUSTRALIA","Rock",3636
1787,"artistName1787","USA","Country",3637
1788,"artistName1788","AUSTRALIA","Jazz",3638
1789,"artistName1789","GERMANY","Jazz",3639
1790,"artistName1790","GERMANY","Country",3640
1791,"artistName1791","GERMANY","Pop",3641
1792,"artistName1792","MEXICO","Electronic",3644
1793,"artistName1793","GERMANY","Jazz",3645
1794,"artistName1794","CHINA","Classical",3647
